DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsTo,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,groupType,member,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,givenName,userPrincipalName,gPCUserExtensionNames
"DC=andeby,DC=local",domainDNS,"DC=andeby,DC=local",5,20240418091249.0Z,20240418120741.0Z,"DC=ForestDnsZones,DC=andeby,DC=local;DC=DomainDnsZones,DC=andeby,DC=local;CN=Configuration,DC=andeby,DC=local",4099,X'010000002800000000000000000000000000000000000000978eb3de4978204baaffef929efe189c',X'0200000000000000f001000001000000079a311c030000001d9a311c030000004c210000d80000001801000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005a553633798d784c9c4bca831688fc9000000000000000000000000000000000000000000000000000000000000000000000000000000000180100001800000000000000900000000000000000000000330033003300360035003500350061002d0038006400370039002d0034006300370038002d0039006300340062002d006300610038003300310036003800380066006300390030002e005f006d0073006400630073002e0061006e0064006500620079002e006c006f00630061006c000000000000000000330033003300360035003500350061002d0038006400370039002d0034006300370038002d0039006300340062002d006300610038003300310036003800380066006300390030002e005f006d0073006400630073002e0061006e0064006500620079002e006c006f00630061006c00000000000000000000000000000000000000000000000000',X'0200000000000000f0010000000000003da4311c030000003da4311c0300000000000000d80000001801000070000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000009d3100000000000000000000000000009d310000000000005a553633798d784c9c4bca831688fc90e78234e5e271f64f9694bffbbf7fba15000000000000000000000000000000000000000000000000180100001800000000000000900000000000000000000000330033003300360035003500350061002d0038006400370039002d0034006300370038002d0039006300340062002d006300610038003300310036003800380066006300390030002e005f006d0073006400630073002e0061006e0064006500620079002e006c006f00630061006c000000000000000000330033003300360035003500350061002d0038006400370039002d0034006300370038002d0039006300340062002d006300610038003300310036003800380066006300390030002e005f006d0073006400630073002e0061006e0064006500620079002e006c006f00630061006c00000000000000000000000000000000000000000000000000',13611,andeby,X'2aa1d4e2583e694caeee3729e1ca9ce2',X'02000000000000000100000000000000e78234e5e271f64f9694bffbbf7fba159d310000000000003da4311c03000000',133579052162469435,-9223372036854775808,-6000000000,-6000000000,0,-36288000000000,-864000000000,7,0,1002,1,24,X'010400000000000515000000148d7e36ba23e369dcf4aca8',1,1,1,X'0001',0,"CN=RID Manager$,CN=System,DC=andeby,DC=local","CN=NTDS Settings,CN=DOMAINC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=andeby,DC=local",-1946157056,"B:32:6227F0AF1FC2410D8E3BB10615BB5B0F:CN=NTDS Quotas,DC=andeby,DC=local;B:32:F4BE92A4C777485E878E9421D53087DB:CN=Microsoft,CN=Program Data,DC=andeby,DC=local;B:32:09460C08AE1E4A4EA0F64AEE7DAA1E5A:CN=Program Data,DC=andeby,DC=local;B:32:22B70C67D56E4EFB91E9300FCA3DC1AA:CN=ForeignSecurityPrincipals,DC=andeby,DC=local;B:32:18E2EA80684F11D2B9AA00C04F79F805:CN=Deleted Objects,DC=andeby,DC=local;B:32:2FBAC1870ADE11D297C400C04FD8D5CD:CN=Infrastructure,DC=andeby,DC=local;B:32:AB8153B7768811D1ADED00C04FD8D5CD:CN=LostAndFound,DC=andeby,DC=local;B:32:AB1D30F3768811D1ADED00C04FD8D5CD:CN=System,DC=andeby,DC=local;B:32:A361B2FFFFD211D1AA4B00C04FD7D83A:OU=Domain Controllers,DC=andeby,DC=local;B:32:AA312825768811D1ADED00C04FD8D5CD:CN=Computers,DC=andeby,DC=local;B:32:A9D1CA15768811D1ADED00C04FD8D5CD:CN=Users,DC=andeby,DC=local","CN=Domain-DNS,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,"[LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=andeby,DC=local\;0]",16010101000000.0Z,"B:32:683A24E2E8164BD3AF86AC3C2CF3F981:CN=Keys,DC=andeby,DC=local;B:32:1EB93889E40C45DF9F0C64D23BBB6237:CN=Managed Service Accounts,DC=andeby,DC=local","CN=NTDS Settings,CN=DOMAINC2,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=andeby,DC=local;CN=NTDS Settings,CN=DOMAINC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=andeby,DC=local",10,7,1,1000,10,"CN=NTDS Settings,CN=DOMAINC2,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=andeby,DC=local;CN=NTDS Settings,CN=DOMAINC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=andeby,DC=local","CN=NTDS Settings,CN=DOMAINC2,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=andeby,DC=local;CN=NTDS Settings,CN=DOMAINC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=andeby,DC=local",0,TRUE,andeby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Users,DC=andeby,DC=local",container,"CN=Users,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5660,,,,5660,Users,X'dc129b5bb2bc5a4f80537697c31d47ef',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418103205.0Z;20240418091336.0Z;16010101181217.0Z,,,,,,,,,,,,,Users,Default container for upgraded user accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Computers,DC=andeby,DC=local",container,"CN=Computers,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5661,,,,5661,Computers,X'b792455a6a838243b286e031b717b954',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418103205.0Z;20240418091336.0Z;16010101181217.0Z,,,,,,,,,,,,,Computers,Default container for upgraded computer accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OU=Domain Controllers,DC=andeby,DC=local",organizationalUnit,"OU=Domain Controllers,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5804,,,,5804,Domain Controllers,X'cb7fbfd0fbdfed4081402372dc988ee9',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,"[LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=andeby,DC=local\;0]",20240418120741.0Z;20240418103205.0Z;20240418091336.0Z;16010101181217.0Z,,,,,,,,,,,,,,Default container for domain controllers,FALSE,Domain Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=System,DC=andeby,DC=local",container,"CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5662,,,,5662,System,X'5f8ea8fa46ad9e4eaf93ca4ce4c0d4d3',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418103205.0Z;20240418091336.0Z;16010101181217.0Z,,,,,,,,,,,,,System,Builtin system settings,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=LostAndFound,DC=andeby,DC=local",lostAndFound,"CN=LostAndFound,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5658,,,,5658,LostAndFound,X'266542ad172c7f408f80e461f9c5c8ef',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Lost-And-Found,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418103205.0Z;20240418091336.0Z;16010101181217.0Z,,,,,,,,,,,,,LostAndFound,Default container for orphaned objects,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Infrastructure,DC=andeby,DC=local",infrastructureUpdate,"CN=Infrastructure,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5805,,,,5805,Infrastructure,X'f2d4d18c53e897439ddf3b1af298a92a',,,,,,,,,,,,,,,,,,,,,"CN=NTDS Settings,CN=DOMAINC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=andeby,DC=local",-1946157056,,"CN=Infrastructure-Update,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418103205.0Z;20240418091336.0Z;16010101181217.0Z,,,,,,,,,,,,,Infrastructure,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ForeignSecurityPrincipals,DC=andeby,DC=local",container,"CN=ForeignSecurityPrincipals,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5806,,,,5806,ForeignSecurityPrincipals,X'a0015d69b50c1c43945358b9cbe54127',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418103205.0Z;20240418091336.0Z;16010101181217.0Z,,,,,,,,,,,,,ForeignSecurityPrincipals,"Default container for security identifiers (SIDs) associated with objects from external, trusted domains",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Program Data,DC=andeby,DC=local",container,"CN=Program Data,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5807,,,,5807,Program Data,X'3a7260dd67ceec4aa4798a8d92ad1718',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,20240418120741.0Z;20240418103205.0Z;20240418091336.0Z;16010101181217.0Z,,,,,,,,,,,,,Program Data,Default location for storage of application data.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Microsoft,CN=Program Data,DC=andeby,DC=local",container,"CN=Microsoft,CN=Program Data,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5808,,,,5808,Microsoft,X'634bc5d7fd6f644cb3ae4fb385569d0f',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Microsoft,Default location for storage of Microsoft application data.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
