DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsTo,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,member,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,givenName,userPrincipalName,gPCUserExtensionNames
"DC=Kredit,DC=Dylan,DC=local",domainDNS,"DC=Kredit,DC=Dylan,DC=local",5,20240419064225.0Z,20240419095446.0Z,"DC=ForestDnsZones,DC=Kredit,DC=Dylan,DC=local;DC=DomainDnsZones,DC=Kredit,DC=Dylan,DC=local;CN=Configuration,DC=Kredit,DC=Dylan,DC=local",4099,X'01000000280000000000000000000000000000000000000032ad5e8fadd28a4487c9ce1ff5097030',X'0200000000000000080200000000000098d0321c0300000098d0321c0300000000000000d800000030010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032ad5e8fadd28a4487c9ce1ff509703000000000000000000000000000000000000000000000000000000000000000000000000000000000300100001800000000000000980000000000000000000000380066003500650061006400330032002d0064003200610064002d0034003400380061002d0038003700630039002d006300650031006600660035003000390037003000330030002e005f006d0073006400630073002e004b00720065006400690074002e00440079006c0061006e002e006c006f00630061006c0000000000380066003500650061006400330032002d0064003200610064002d0034003400380061002d0038003700630039002d006300650031006600660035003000390037003000330030002e005f006d0073006400630073002e004b00720065006400690074002e00440079006c0061006e002e006c006f00630061006c0000000000000000000000000000000000000000000000000000000000',X'02000000000000000802000000000000e7d3321c03000000e7d3321c0300000000000000d8000000300100007000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000cc410000000000000000000000000000cc4100000000000032ad5e8fadd28a4487c9ce1ff5097030a7a120ecfd7d7b4ea647007f4f28a7bd000000000000000000000000000000000000000000000000300100001800000000000000980000000000000000000000380066003500650061006400330032002d0064003200610064002d0034003400380061002d0038003700630039002d006300650031006600660035003000390037003000330030002e005f006d0073006400630073002e004b00720065006400690074002e00440079006c0061006e002e006c006f00630061006c0000000000380066003500650061006400330032002d0064003200610064002d0034003400380061002d0038003700630039002d006300650031006600660035003000390037003000330030002e005f006d0073006400630073002e004b00720065006400690074002e00440079006c0061006e002e006c006f00630061006c0000000000000000000000000000000000000000000000000000000000',14286,Kredit,X'8499839f993fa14aa43d390c1db78e15',X'02000000000000000100000000000000a7a120ecfd7d7b4ea647007f4f28a7bdd041000000000000e7d3321c03000000',133579826137390333,-9223372036854775808,-6000000000,-6000000000,0,-36288000000000,-864000000000,7,0,1000,1,24,X'010400000000000515000000226971ce8cd3962c4b54daf3',1,1,1,X'0001',0,"CN=RID Manager$,CN=System,DC=Kredit,DC=Dylan,DC=local","CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",-1946157056,"B:32:6227F0AF1FC2410D8E3BB10615BB5B0F:CN=NTDS Quotas,DC=Kredit,DC=Dylan,DC=local;B:32:F4BE92A4C777485E878E9421D53087DB:CN=Microsoft,CN=Program Data,DC=Kredit,DC=Dylan,DC=local;B:32:09460C08AE1E4A4EA0F64AEE7DAA1E5A:CN=Program Data,DC=Kredit,DC=Dylan,DC=local;B:32:22B70C67D56E4EFB91E9300FCA3DC1AA:CN=ForeignSecurityPrincipals,DC=Kredit,DC=Dylan,DC=local;B:32:18E2EA80684F11D2B9AA00C04F79F805:CN=Deleted Objects,DC=Kredit,DC=Dylan,DC=local;B:32:2FBAC1870ADE11D297C400C04FD8D5CD:CN=Infrastructure,DC=Kredit,DC=Dylan,DC=local;B:32:AB8153B7768811D1ADED00C04FD8D5CD:CN=LostAndFound,DC=Kredit,DC=Dylan,DC=local;B:32:AB1D30F3768811D1ADED00C04FD8D5CD:CN=System,DC=Kredit,DC=Dylan,DC=local;B:32:A361B2FFFFD211D1AA4B00C04FD7D83A:OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local;B:32:AA312825768811D1ADED00C04FD8D5CD:CN=Computers,DC=Kredit,DC=Dylan,DC=local;B:32:A9D1CA15768811D1ADED00C04FD8D5CD:CN=Users,DC=Kredit,DC=Dylan,DC=local","CN=Domain-DNS,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,"[LDAP://cn={D23BE4EF-91B1-465F-9051-74FA7678EB96},cn=policies,cn=system,DC=Kredit,DC=Dylan,DC=local\;0][LDAP://cn={09F1D44F-4D81-42AA-B2EA-4B9E86030129},cn=policies,cn=system,DC=Kredit,DC=Dylan,DC=local\;0][LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local\;0]",16010101000000.0Z,"B:32:683A24E2E8164BD3AF86AC3C2CF3F981:CN=Keys,DC=Kredit,DC=Dylan,DC=local;B:32:1EB93889E40C45DF9F0C64D23BBB6237:CN=Managed Service Accounts,DC=Kredit,DC=Dylan,DC=local","CN=NTDS Settings,CN=DC2,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=Kredit,DC=Dylan,DC=local;CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",10,7,1,1000,10,"CN=NTDS Settings,CN=DC2,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=Kredit,DC=Dylan,DC=local;CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=Kredit,DC=Dylan,DC=local","CN=NTDS Settings,CN=DC2,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=Kredit,DC=Dylan,DC=local;CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",0,TRUE,Kredit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Users,DC=Kredit,DC=Dylan,DC=local",container,"CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5660,,,,5660,Users,X'7f1e5647ac3fbc47a472e258464d6714',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419073651.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Users,Default container for upgraded user accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Computers,DC=Kredit,DC=Dylan,DC=local",container,"CN=Computers,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5661,,,,5661,Computers,X'f3c8408836d05d4a98b744f6509d4ac5',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419073651.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Computers,Default container for upgraded computer accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",organizationalUnit,"OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5804,,,,5804,Domain Controllers,X'0309bbfbff761546bf801aabdf4e51a4',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,"[LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=Kredit,DC=Dylan,DC=local\;0]",20240419073651.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,,Default container for domain controllers,FALSE,Domain Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5662,,,,5662,System,X'1af35b0c28b8d847889f17d990f198a9',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419073651.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,System,Builtin system settings,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=LostAndFound,DC=Kredit,DC=Dylan,DC=local",lostAndFound,"CN=LostAndFound,DC=Kredit,DC=Dylan,DC=local",4,20240419064231.0Z,20240419064231.0Z,,5658,,,,5658,LostAndFound,X'b6ece7d2776f8241a857f5e175fdc5c3',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Lost-And-Found,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419073651.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,LostAndFound,Default container for orphaned objects,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Infrastructure,DC=Kredit,DC=Dylan,DC=local",infrastructureUpdate,"CN=Infrastructure,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5805,,,,5805,Infrastructure,X'28c90a8ae17b6144985c7723ec5e7483',,,,,,,,,,,,,,,,,,,,,"CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",-1946157056,,"CN=Infrastructure-Update,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419073651.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Infrastructure,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ForeignSecurityPrincipals,DC=Kredit,DC=Dylan,DC=local",container,"CN=ForeignSecurityPrincipals,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5806,,,,5806,ForeignSecurityPrincipals,X'd72e3a2245401f49ab0927b92eda3ec6',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419073651.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,ForeignSecurityPrincipals,"Default container for security identifiers (SIDs) associated with objects from external, trusted domains",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Program Data,DC=Kredit,DC=Dylan,DC=local",container,"CN=Program Data,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5807,,,,5807,Program Data,X'eaf42c76b3cec64584b936fdc2f800e7',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419073651.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Program Data,Default location for storage of application data.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Microsoft,CN=Program Data,DC=Kredit,DC=Dylan,DC=local",container,"CN=Microsoft,CN=Program Data,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5808,,,,5808,Microsoft,X'3472116f399e4b449c555f7377ed865e',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Microsoft,Default location for storage of Microsoft application data.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
