#TYPE Selected.System.Management.Automation.PSCustomObject
"groupType","name","member","whenChanged"
"Domain local","Administrators","Domain Admins;Enterprise Admins;Administrator","20240411080143.0Z"
"Domain local","Users","Domain Users;S-1-5-11;S-1-5-4","20240411074633.0Z"
"Domain local","Guests","Domain Guests;Guest","20240411074633.0Z"
"Domain local","IIS_IUSRS","S-1-5-17","20240411074526.0Z"
"Univesal","Schema Admins","Administrator","20240411080143.0Z"
"Univesal","Enterprise Admins","Administrator","20240411080143.0Z"
"Global","Domain Admins","Administrator","20240411080143.0Z"
"Global","Group Policy Creator Owners","Administrator","20240411074633.0Z"
"Domain local","Pre-Windows 2000 Compatible Access","S-1-5-11","20240411074633.0Z"
"Domain local","Windows Authorization Access Group","S-1-5-9","20240411074633.0Z"
"Domain Local","Denied RODC Password Replication Group","Read-only Domain Controllers;Group Policy Creator Owners;Domain Admins;Cert Publishers;Enterprise Admins;Schema Admins;Domain Controllers;krbtgt","20240411074633.0Z"
"Global","G_Produktion","Produktion10;Produktion9;Produktion8;Produktion7;Produktion6;Produktion5;Produktion4;Produktion3;Produktion2;Produktion1;Hardy Hardworker","20240415074354.0Z"
"Global","G_Salg","Salg10;Salg9;Salg8;Salg7;Salg6;Salg5;Salg4;Salg3;Salg2;Salg1;Steen Smartesen","20240415074933.0Z"
"Global","G_HR","HR10;HR9;HR8;HR7;HR6;HR5;HR4;HR3;HR2;HR1;Sonja Striks","20240415074338.0Z"
"Global","G_Direktion","Direktion10;Direktion9;Direktion8;Direktion7;Direktion6;Direktion5;Direktion4;Direktion3;Direktion2;Direktion1;Stein Snyder","20240415074319.0Z"
"Domain Local","DL_Produktion_M","G_Produktion","20240412112554.0Z"
"Domain Local","DL_Produktion_R","G_Regnskab","20240415074555.0Z"
"Domain Local","DL_Salg_M","G_Salg","20240412112646.0Z"
"Domain Local","DL_Salg_R","G_Regnskab;G_Salg","20240415074555.0Z"
"Domain Local","DL_HR_M","G_HR","20240412112703.0Z"
"Domain Local","DL_HR_R","G_Regnskab;G_HR","20240415074555.0Z"
"Domain Local","DL_Direktion_M","G_Direktion","20240412112712.0Z"
"Domain Local","DL_Direktion_R","G_Regnskab;G_Direktion","20240415074555.0Z"
"Domain Local","DL_Regnskab_M","G_Regnskab","20240415074555.0Z"
"Domain Local","DL_Regnskab_R","G_Regnskab;G_Direktion","20240415074555.0Z"
"Global","G_Regnskab","Regnskab10;Regnskab9;Regnskab8;Regnskab7;Regnskab6;Regnskab5;Regnskab4;Regnskab3;Regnskab2;Regnskab1;Tanja Talknuser","20240415074623.0Z"
