DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsFullReplicaFor,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,msDS-AuthenticatedAtDC,member,managedObjects,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDS-GenerationId,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dNSProperty,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,givenName,userPrincipalName,msDS-PSOApplied,msDS-MaximumPasswordAge,msDS-MinimumPasswordAge,msDS-MinimumPasswordLength,msDS-PasswordHistoryLength,msDS-PasswordComplexityEnabled,msDS-PasswordReversibleEncryptionEnabled,msDS-LockoutObservationWindow,msDS-LockoutDuration,msDS-LockoutThreshold,msDS-PSOAppliesTo,msDS-PasswordSettingsPrecedence,lastSetTime,priorSetTime,managedBy,msDS-KrbTgtLink,msDS-RevealedUsers,msDS-NeverRevealGroup,msDS-RevealOnDemandGroup,msDS-RevealedDSAs,msDS-AuthenticatedToAccountlist,msDS-SecondaryKrbTgtNumber,msDS-KrbTgtLinkBl,sn,l,department,company,gPCUserExtensionNames,uNCName,serverName,portName,driverName,priority,printStartTime,printEndTime,printBinNames,printMaxResolutionSupported,printOrientationsSupported,printCollate,printColor,printLanguage,printShareName,printSpooling,printKeepPrintedJobs,driverVersion,printMaxXExtent,printMaxYExtent,printMinXExtent,printMinYExtent,printStaplingSupported,printMemory,printRateUnit,printMediaReady,printNumberUp,printMediaSupported,printerName,url,shortServerName,printDuplexSupported,printAttributes,msDFS-SchemaMajorVersion,msDFS-SchemaMinorVersion,msDFS-GenerationGUIDv2,msDFS-NamespaceIdentityGUIDv2,msDFS-LastModifiedv2,msDFS-Ttlv2,msDFS-Propertiesv2,msDFS-TargetListv2,msDFSR-TombstoneExpiryInMin,msDFSR-Schedule,msDFSR-RootSizeInMb,msDFSR-StagingSizeInMb,msDFSR-ConflictPath,msDFSR-ConflictSizeInMb,msDFSR-CachePolicy,msDFSR-MinDurationCacheInMin,msDFSR-MaxAgeInCacheInMin,fromServer,msDFSR-RdcEnabled,msDFSR-RdcMinFileSizeInKb
"DC=csa,DC=local",domainDNS,"DC=csa,DC=local",5,20240514104542.0Z,20240523065951.0Z,"DC=ForestDnsZones,DC=csa,DC=local;DC=DomainDnsZones,DC=csa,DC=local;CN=Configuration,DC=csa,DC=local",4099,X'0100000028000000000000000000000000000000000000006a5db15ca3ee0a4d8d513bd5d3203ac5',X'0200000000000000e4010000000000004f815f1c030000004f815f1c0300000000000000d80000000c01000070000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000005db000000000000000000000000000005db00000000000002f412634eeede7479534e5b8553967a3f17765376dbfcc45870d7c362790bccf0000000000000000000000000000000000000000000000000c0100001800000000000000880000000000000000000000330034003200360034003100320066002d0065006400650065002d0034003700650037002d0039003500330034002d006500350062003800350035003300390036003700610033002e005f006d0073006400630073002e006300730061002e006c006f00630061006c00000000000000330034003200360034003100320066002d0065006400650065002d0034003700650037002d0039003500330034002d006500350062003800350035003300390036003700610033002e005f006d0073006400630073002e006300730061002e006c006f00630061006c000000000000000000000000000000000000000000000000000000',65553,csa,X'4a8c6a182f1a6848911935e88efbd0e4',X'02000000000000000100000000000000f17765376dbfcc45870d7c362790bccf60b00000000000004f815f1c03000000',133609211912685496,-9223372036854775808,-6000000000,-6000000000,0,-36288000000000,-864000000000,7,0,1000,1,24,X'0104000000000005150000005b6cb5bee98e9700756f53f1',1,1,1,X'0001',0,"CN=RID Manager$,CN=System,DC=csa,DC=local","CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=csa,DC=local",-1946157056,"B:32:6227F0AF1FC2410D8E3BB10615BB5B0F:CN=NTDS Quotas,DC=csa,DC=local;B:32:F4BE92A4C777485E878E9421D53087DB:CN=Microsoft,CN=Program Data,DC=csa,DC=local;B:32:09460C08AE1E4A4EA0F64AEE7DAA1E5A:CN=Program Data,DC=csa,DC=local;B:32:22B70C67D56E4EFB91E9300FCA3DC1AA:CN=ForeignSecurityPrincipals,DC=csa,DC=local;B:32:18E2EA80684F11D2B9AA00C04F79F805:CN=Deleted Objects,DC=csa,DC=local;B:32:2FBAC1870ADE11D297C400C04FD8D5CD:CN=Infrastructure,DC=csa,DC=local;B:32:AB8153B7768811D1ADED00C04FD8D5CD:CN=LostAndFound,DC=csa,DC=local;B:32:AB1D30F3768811D1ADED00C04FD8D5CD:CN=System,DC=csa,DC=local;B:32:A361B2FFFFD211D1AA4B00C04FD7D83A:OU=Domain Controllers,DC=csa,DC=local;B:32:AA312825768811D1ADED00C04FD8D5CD:CN=Computers,DC=csa,DC=local;B:32:A9D1CA15768811D1ADED00C04FD8D5CD:CN=Users,DC=csa,DC=local","CN=Domain-DNS,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,"[LDAP://cn={554E03B3-7C4B-450F-80EF-963362B25295},cn=policies,cn=system,DC=csa,DC=local\;0][LDAP://cn={39A8C895-C1CE-46D9-9C63-DC8F8CD6EC4B},cn=policies,cn=system,DC=csa,DC=local\;0][LDAP://cn={41FE0525-EE44-42C6-A2AD-2BC89EC45CEA},cn=policies,cn=system,DC=csa,DC=local\;0][LDAP://cn={1831511B-A955-4FBD-87A2-6610CC118DAE},cn=policies,cn=system,DC=csa,DC=local\;0][LDAP://cn={0F65DB8B-AA75-4726-84EB-F030FDD81036},cn=policies,cn=system,DC=csa,DC=local\;0][LDAP://cn={96517F35-0AA3-4964-A7F3-40535C68F84A},cn=policies,cn=system,DC=csa,DC=local\;0][LDAP://cn={635A66E3-8911-42F3-BF3C-D77072CC409B},cn=policies,cn=system,DC=csa,DC=local\;0][LDAP://cn={580D2549-2060-4DA6-BF09-6911D62017B5},cn=policies,cn=system,DC=csa,DC=local\;0][LDAP://cn={760C3526-2BA1-47B8-A992-988F9D3C6889},cn=policies,cn=system,DC=csa,DC=local\;0][LDAP://cn={3261BACB-08A5-4937-A6D5-7D1E589B54A6},cn=policies,cn=system,DC=csa,DC=local\;0][LDAP://cn={7A07E0C2-97E7-49F7-828B-022F9BEBAB68},cn=policies,cn=system,DC=csa,DC=local\;0][LDAP://cn={B219BEA4-4360-446D-81E8-E9D2881755A5},cn=policies,cn=system,DC=csa,DC=local\;0][LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=csa,DC=local\;0]",16010101000000.0Z,"B:32:683A24E2E8164BD3AF86AC3C2CF3F981:CN=Keys,DC=csa,DC=local;B:32:1EB93889E40C45DF9F0C64D23BBB6237:CN=Managed Service Accounts,DC=csa,DC=local","CN=NTDS Settings,CN=DC2-CORE,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=csa,DC=local;CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=csa,DC=local",10,7,1,1000,10,"CN=NTDS Settings,CN=DC2-CORE,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=csa,DC=local;CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=csa,DC=local","CN=NTDS Settings,CN=DC4-CORE-RODC,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=csa,DC=local;CN=NTDS Settings,CN=DC3-RODC,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=csa,DC=local","CN=NTDS Settings,CN=DC4-CORE-RODC,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=csa,DC=local;CN=NTDS Settings,CN=DC3-RODC,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=csa,DC=local;CN=NTDS Settings,CN=DC2-CORE,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=csa,DC=local;CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=csa,DC=local",0,TRUE,csa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Users,DC=csa,DC=local",container,"CN=Users,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5660,,,5660,Users,X'3cbef6f3979bf947bce136216498cc29',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514112941.0Z;20240514104644.0Z;16010101000416.0Z,,,,,,,,,,,,,,Users,Default container for upgraded user accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Computers,DC=csa,DC=local",container,"CN=Computers,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5661,,,5661,Computers,X'695b37ef40c53f459bf729905b428cd7',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514112941.0Z;20240514104644.0Z;16010101000416.0Z,,,,,,,,,,,,,,Computers,Default container for upgraded computer accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OU=Domain Controllers,DC=csa,DC=local",organizationalUnit,"OU=Domain Controllers,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5804,,,5804,Domain Controllers,X'a0e66b84d2d1d14b8b9428691def96a2',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,"[LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=csa,DC=local\;0]",20240514112941.0Z;20240514104644.0Z;16010101000416.0Z,,,,,,,,,,,,,,,Default container for domain controllers,FALSE,Domain Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=System,DC=csa,DC=local",container,"CN=System,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5662,,,5662,System,X'71adc03efecd3a41861827c2f629dd7a',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514112941.0Z;20240514104644.0Z;16010101000416.0Z,,,,,,,,,,,,,,System,Builtin system settings,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=LostAndFound,DC=csa,DC=local",lostAndFound,"CN=LostAndFound,DC=csa,DC=local",4,20240514104550.0Z,20240514104550.0Z,,5658,,,5658,LostAndFound,X'6e09179fad565b43a04e98e7d803d2ef',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Lost-And-Found,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514112941.0Z;20240514104644.0Z;16010101000416.0Z,,,,,,,,,,,,,,LostAndFound,Default container for orphaned objects,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Infrastructure,DC=csa,DC=local",infrastructureUpdate,"CN=Infrastructure,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5805,,,5805,Infrastructure,X'1e0a626f79bae44ca5401e78c70d0292',,,,,,,,,,,,,,,,,,,,,"CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=csa,DC=local",-1946157056,,"CN=Infrastructure-Update,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514112941.0Z;20240514104644.0Z;16010101000416.0Z,,,,,,,,,,,,,,Infrastructure,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ForeignSecurityPrincipals,DC=csa,DC=local",container,"CN=ForeignSecurityPrincipals,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5806,,,5806,ForeignSecurityPrincipals,X'd3efeb6f1a835f4bb25365f0eddcc5bf',,,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",TRUE,,20240514112941.0Z;20240514104644.0Z;16010101000416.0Z,,,,,,,,,,,,,,ForeignSecurityPrincipals,"Default container for security identifiers (SIDs) associated with objects from external, trusted domains",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Program Data,DC=csa,DC=local",container,"CN=Program Data,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5807,,,5807,Program Data,X'ca5d7a1adf06aa41a5e88e3c45a6eceb',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514112941.0Z;20240514104644.0Z;16010101000416.0Z,,,,,,,,,,,,,,Program Data,Default location for storage of application data.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Microsoft,CN=Program Data,DC=csa,DC=local",container,"CN=Microsoft,CN=Program Data,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5808,,,5808,Microsoft,X'ce364b005b9e124fb11209db3b964a79',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,Microsoft,Default location for storage of Microsoft application data.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
