#TYPE Selected.System.Management.Automation.PSCustomObject
"groupType","name","member","whenChanged"
"-2147483643","Administrators","CN=a,CN=Users,DC=csa,DC=local;CN=Domain Admins,CN=Users,DC=csa,DC=local;CN=Enterprise Admins,CN=Users,DC=csa,DC=local;CN=Administrator,CN=Users,DC=csa,DC=local","20240514115612.0Z"
"-2147483643","Users","CN=Domain Users,CN=Users,DC=csa,DC=local;CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=csa,DC=local;CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=csa,DC=local","20240514104643.0Z"
"-2147483643","Guests","CN=Domain Guests,CN=Users,DC=csa,DC=local;CN=Guest,CN=Users,DC=csa,DC=local","20240514104643.0Z"
"-2147483643","Print Operators","","20240514110154.0Z"
"-2147483643","Backup Operators","","20240514110154.0Z"
"-2147483643","Replicator","","20240514110154.0Z"
"-2147483643","Remote Desktop Users","CN=Domain Users,CN=Users,DC=csa,DC=local","20240516114818.0Z"
"-2147483643","Network Configuration Operators","","20240514104551.0Z"
"-2147483643","Performance Monitor Users","","20240514104551.0Z"
"-2147483643","Performance Log Users","","20240514104551.0Z"
"-2147483643","Distributed COM Users","","20240514104551.0Z"
"-2147483643","IIS_IUSRS","CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=csa,DC=local","20240514104551.0Z"
"-2147483643","Cryptographic Operators","","20240514104551.0Z"
"-2147483643","Event Log Readers","","20240514104551.0Z"
"-2147483643","Certificate Service DCOM Access","","20240514104551.0Z"
"-2147483643","RDS Remote Access Servers","","20240514104551.0Z"
"-2147483643","RDS Endpoint Servers","","20240514104551.0Z"
"-2147483643","RDS Management Servers","","20240514104551.0Z"
"-2147483643","Hyper-V Administrators","","20240514104551.0Z"
"-2147483643","Access Control Assistance Operators","","20240514104551.0Z"
"-2147483643","Remote Management Users","","20240514104551.0Z"
"-2147483643","Storage Replica Administrators","","20240514104551.0Z"
"-2147483646","Domain Computers","","20240514104643.0Z"
"-2147483646","Domain Controllers","","20240514110154.0Z"
"-2147483640","Schema Admins","CN=a,CN=Users,DC=csa,DC=local;CN=Administrator,CN=Users,DC=csa,DC=local","20240514115612.0Z"
"-2147483640","Enterprise Admins","CN=a,CN=Users,DC=csa,DC=local;CN=Administrator,CN=Users,DC=csa,DC=local","20240514115612.0Z"
"-2147483644","Cert Publishers","","20240514104643.0Z"
"-2147483646","Domain Admins","CN=a,CN=Users,DC=csa,DC=local;CN=Administrator,CN=Users,DC=csa,DC=local","20240514115612.0Z"
"-2147483646","Domain Users","","20240514104643.0Z"
"-2147483646","Domain Guests","","20240514104643.0Z"
"-2147483646","Group Policy Creator Owners","CN=a,CN=Users,DC=csa,DC=local;CN=Administrator,CN=Users,DC=csa,DC=local","20240514115612.0Z"
"-2147483644","RAS and IAS Servers","","20240514104643.0Z"
"-2147483643","Server Operators","","20240514110154.0Z"
"-2147483643","Account Operators","","20240514110154.0Z"
"-2147483643","Pre-Windows 2000 Compatible Access","CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=csa,DC=local","20240514104643.0Z"
"-2147483643","Incoming Forest Trust Builders","","20240514104643.0Z"
"-2147483643","Windows Authorization Access Group","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=csa,DC=local","20240514104643.0Z"
